,t1-t2-LSUB,t1-t2-LCA,t1-t2-LDG
645551,1.8799782,1.9322042,1.6097298
647858,1.8653059,1.9953388,1.6298845
654350,2.1409125,2.054556,1.6876457
654754,1.8905046,1.8207717,1.526892
656253,2.0794759,2.0427797,1.644091
657659,1.7983516,1.7523786,1.4731197
660951,2.122132,2.1392088,1.8058822
663755,2.3061705,2.2279086,1.7799134
664757,1.8492861,1.9956067,1.7177222
665254,2.1957967,2.0995803,1.6468511
667056,2.1025686,2.050333,1.6390502
668361,1.9100437,2.1940699,1.9138567
671855,2.1559792,2.0301347,1.5788258
672756,1.9049308,2.422604,1.7101045
673455,1.8256948,1.9676764,1.7739198
677766,2.1664891,2.1098256,1.704052
677968,2.0015883,2.0281537,1.6923308
679568,1.8457009,1.9061584,1.5465627
679770,1.9861934,2.0386784,1.6705856
680250,1.9966807,2.0284464,1.6108184
680957,2.0042984,1.9725194,1.6783456
683256,1.8902936,1.8761377,1.4977624
685058,2.1220384,2.2169938,1.7683645
687163,2.147121,1.9787767,1.6362553
690152,2.0046048,2.0719314,1.6571522
693764,2.5045621,2.3526046,1.7635111
695768,2.0619378,1.9132893,1.5760605
700634,2.1046324,1.9586024,1.6194723
702133,1.960689,1.9811339,1.6945527
704238,2.0880923,1.8802372,1.5683404
705341,2.1189651,2.096002,1.741313
706040,2.1836433,2.1066186,1.7693357
707749,1.9745338,1.9215028,1.6995361
713239,2.0204682,2.049159,1.7425646
715041,2.0931675,1.924187,1.6821468
715647,1.9989175,1.9154613,1.6189299
720337,2.1346755,2.0058236,1.5547329
724446,1.940932,2.0298781,1.738686
725751,2.2049603,2.3113859,1.8692619
727654,1.8805382,1.9049832,1.6694486
729254,1.9572957,1.8533103,1.6102583
729557,1.9826646,1.9695318,1.6526289
731140,1.903029,1.9575486,1.6525303
732243,1.8994519,1.830334,1.5436804
737960,1.8205636,2.1026678,1.6639354
742549,1.8324082,2.1022956,1.6832075
744553,2.0767825,2.1200933,1.6898323
748258,2.0825412,2.1291857,1.6794446
748662,1.9139471,2.1865335,1.7232404
749058,2.091093,2.0147834,1.8566108
749361,2.1713877,1.9506986,1.6789762
751348,2.0142612,1.9815414,1.5789913
751550,1.905422,1.8828473,1.6942358
753150,2.0730572,2.3140473,1.9032238
753251,2.1175246,2.0955215,1.6502165
756055,2.0550559,2.0397522,1.7060083
759869,2.07014,1.8590074,1.6618681
761957,1.8918393,2.254941,1.5117522
765056,1.9805608,1.8652962,1.4738373
769064,2.0217967,2.018292,1.6526673
770352,1.9238029,1.8559623,1.580482
771354,1.9368432,1.901167,1.644753
779370,2.1482117,1.9441562,1.6134348
782561,1.926865,1.95419,1.5493748
783462,1.9775358,1.9901776,1.6334171
784565,1.9445678,2.0494206,1.7140403
788876,1.9643508,2.023073,1.6942554
789373,1.9506369,1.9723275,1.6201875
792564,2.0888722,2.0372744,1.7498744
792766,2.2583961,2.1487832,1.7914357
792867,2.072379,2.0855134,1.6940761
793465,2.102219,2.0614715,1.732403
800941,2.0396328,2.023148,1.7250328
802844,2.0631647,2.1541042,1.7362952
803240,2.0206761,2.1062415,1.7551485
